 1 ,        1 , 100.00 ,   3.77
 1 ,       10 ,  80.00 ,  26.40
 1 ,      100 ,  58.00 ,  46.21
 1 ,     1000 ,  59.70 ,  47.50
 1 ,    10000 ,  57.34 ,  46.29
 1 ,   100000 ,  56.94 ,  45.93
 1 ,   500000 ,  57.10 ,  45.44
 1 ,  1000000 ,  57.03 ,  44.95
 2 ,        1 , 100.00 ,   1.46
 2 ,       10 ,  70.00 ,  14.90
 2 ,      100 ,  61.00 ,  64.68
 2 ,     1000 ,  57.90 ,  88.65
 2 ,    10000 ,  57.37 ,  91.61
 2 ,   100000 ,  57.35 ,  91.72
 2 ,   500000 ,  57.03 ,  90.61
 2 ,  1000000 ,  57.05 ,  89.88
 4 ,        1 , 100.00 ,   0.74
 4 ,       10 ,  70.00 ,   8.18
 4 ,      100 ,  59.00 ,  59.13
 4 ,     1000 ,  56.80 , 160.97
 4 ,    10000 ,  56.74 , 177.69
 4 ,   100000 ,  57.01 , 182.23
 4 ,   500000 ,  57.05 , 181.71
 4 ,  1000000 ,  57.04 , 181.29
 6 ,        1 , 100.00 ,   0.63
 6 ,       10 ,  70.00 ,   6.27
 6 ,      100 ,  52.00 ,  61.84
 6 ,     1000 ,  55.60 , 210.75
 6 ,    10000 ,  56.23 , 263.80
 6 ,   100000 ,  56.77 , 273.57
 6 ,   500000 ,  56.93 , 261.55
 6 ,  1000000 ,  56.94 , 255.93
 8 ,        1 , 100.00 ,   0.00
 8 ,       10 ,  30.00 ,   0.00
 8 ,      100 ,  50.00 ,   0.07
 8 ,     1000 ,  57.70 ,   0.68
 8 ,    10000 ,  57.24 ,   3.67
 8 ,   100000 ,  57.17 ,  52.14
 8 ,   500000 ,  57.10 ,  93.87
 8 ,  1000000 ,  56.98 , 122.01
